row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,finishtime,winodds,date,raceno,class,distance
0,1,10,RAPPER DRAGON(V082),J Moreira,J Moore,117,1167,1,1.33.87,2.2,29/05/16,8,1,1600
0,1,3,SO CAFFE(S258),J Moreira,C Fownes,127,1114,5,1.41.64,2.3,22/06/16,8,3,1650
0,1,9,ARIZONA BLIZZARD(V264),J Moreira,J Size,118,1119,3,1.08.69,3.6,27/11/16,8,3,1200
0,1,3,HAPPY SPIRIT(V008),J Moreira,A S Cruz,132,1099,7,1.39.72,3.8,14/12/16,8,3,1650
0,1,5,BLIZZARD(S398),J Moreira,P F Yiu,121,1138,7,1.21.22,2.6,01/01/17,8,1,1400
0,1,11,ROUNDABOUT(T352),J Moreira,W Y So,120,1121,2,1.22.06,3.8,08/01/17,8,3,1400
0,1,11,SEA JADE(V307),J Moreira,J Moore,119,1189,6,1.09.84,2,11/01/17,8,2,1200
0,1,9,BEAT THE CLOCK(V397),J Moreira,J Size,121,1120,2,1.21.50,1.4,14/01/17,8,3,1400
0,1,5,BEAT THE CLOCK(V397),J Moreira,J Size,130,1107,12,1.08.77,1.9,05/03/17,8,3,1200
0,1,6,BRAVO WATCHMAN(A102),J Moreira,W Y So,124,1231,11,1.10.06,2.2,02/04/17,8,3,1200
0,1,7,RAPPER DRAGON(V082),J Moreira,J Moore,123,1168,5,1.33.74,1.6,09/04/17,8,1,1600
0,1,8,RED MARVEL(T417),J Moreira,J Size,123,1067,10,1.38.38,7.6,31/05/17,8,3,1650
0,1,8,JUMBO LUCK(V068),J Moreira,K W Lui,121,1214,5,1.09.31,1.6,18/06/17,8,3,1200
0,1,8,CONTENTMENT(S391),J Moreira,J Size,122,1116,9,1.33.62,2.4,12/07/15,9,1,1600
0,1,1,DEHERE'S THE LOVE(P305),J Moreira,J Size,133,1136,2,1.08.64,2.2,06/12/15,9,2,1200
0,1,10,SUN JEWELLERY(T301),J Moreira,J Size,124,1129,9,1.22.25,2,13/12/15,9,1,1400
0,1,1,MIDNIGHT RATTLER(T371),J Moreira,J Moore,133,1133,7,1.22.56,2.9,14/02/16,9,3,1400
0,1,12,RUBY COAST(T159),J Moreira,K L Man,119,1051,6,1.35.34,4.8,10/04/16,9,3,1600
0,1,2,HELENE PARAGON(V167),J Moreira,J Moore,124,1057,9,1.22.42,2.6,01/05/16,9,2,1400
0,1,5,JOYFUL TRINITY(V110),J Moreira,J Moore,119,1138,10,1.21.71,4,14/05/16,9,2,1400
0,1,9,MR STUNNING(V153),J Moreira,J Size,122,1113,11,1.09.16,1.6,11/12/16,9,2,1200
0,1,1,RAPPER DRAGON(V082),J Moreira,J Moore,126,1177,8,1.34.98,2.1,22/01/17,9,1,1600
0,1,9,MARVEL HERO(T311),J Moreira,C Fownes,121,982,6,1.39.57,2.6,25/01/17,9,2,1650
0,1,14,WORLD RECORD(V040),J Moreira,A T Millard,117,1061,6,1.22.45,3.5,26/03/17,9,3,1400
0,1,2,WESTERN EXPRESS(A090),J Moreira,J Size,133,1258,6,1.20.86,3,02/04/17,9,2,1400
0,1,1,SEASONS BLOOM(V410),J Moreira,C S Shum,133,1021,1,1.34.83,2.4,18/06/17,9,2,1600
0,1,11,CALCULATION(A248),J Moreira,J Size,120,1076,7,1.23.09,4.6,16/07/17,9,3,1400
0,1,4,RED DANCER(P264),J Moreira,J Size,130,1052,9,1.34.44,6,14/06/15,10,3,1600
0,1,1,UP AND COMING(S266),J Moreira,K W Lui,133,1115,10,1.22.86,3.1,06/09/15,10,3,1400
0,1,2,SO FAST(S419),J Moreira,J Size,130,1098,11,1.22.24,2.7,06/12/15,10,3,1400
0,1,12,SERGEANT TITANIUM(S332),J Moreira,J Size,119,1122,5,2.03.48,6.7,27/12/15,10,2,2000
0,1,8,LITTLE DRAGON(S264),J Moreira,P F Yiu,131,1059,7,1.48.96,5.9,06/03/16,10,3,1800
0,1,4,WAH MAY FRIEND(T309),J Moreira,A S Cruz,132,1055,11,1.22.25,6.2,01/05/16,10,3,1400
0,1,6,BASIC TRILOGY(V133),J Moreira,J Moore,122,1178,2,1.46.62,4,14/05/16,10,2,1800
0,1,11,JOYFUL TRINITY(V110),J Moreira,J Moore,115,1156,7,1.21.11,2.1,01/10/16,10,1,1400
0,1,7,INVINCIBLE DRAGON(V166),J Moreira,J Moore,124,1201,8,1.21.65,2.2,14/01/17,10,2,1400
0,1,13,NOTHINGILIKEMORE(V388),J Moreira,J Size,117,1130,13,1.21.36,2.3,19/02/17,10,3,1400
0,1,2,MIGHTY MAVERICK(V150),J Moreira,D Cruz,129,1143,2,1.21.19,7.1,05/03/17,10,3,1400
0,1,2,NOTHINGILIKEMORE(V388),J Moreira,J Size,129,1135,2,1.21.68,1.2,12/03/17,10,3,1400
0,1,1,GENERAL SHERMAN(V125),J Moreira,A S Cruz,133,1050,3,1.47.16,3.5,02/04/17,10,3,1800
0,1,7,IVICTORY(A257),J Moreira,J Size,122,1039,8,1.10.14,2.5,16/07/17,10,3,1200
0,1,4,CONTENTMENT(S391),J Moreira,J Size,128,1107,9,1.34.51,3.8,14/06/15,11,2,1600
0,1,4,SUN JEWELLERY(T301),J Moreira,J Size,126,1115,7,1.20.88,1.6,12/07/15,11,2,1400
0,1,4,THEWIZARDOFOZ(T251),J Moreira,J Size,128,1174,10,1.21.58,2.6,27/12/15,11,2,1400
0,1,4,RAPPER DRAGON(V082),J Moreira,J Moore,127,1175,3,1.34.44,3,28/03/16,11,2,1600
0,1,11,CHEEKY TOO(T152),J Moreira,J Moore,120,1142,12,1.22.43,3.1,10/04/16,11,2,1400
0,1,6,MY DARLING(V142),J Moreira,J Size,128,1132,9,1.21.54,3.4,22/05/16,11,3,1400
0,1,2,SPICY SURE(T234),J Moreira,K L Man,133,1139,7,1.20.92,3.7,19/06/16,11,3,1400
